Date,Region,Product,Customers,Revenue,Operating_Cost,Marketing_Cost,Profit
2023-06-03,East,Investment,215,89501,77039,8368,4094
2024-09-02,West,Investment,406,57849,75713,12213,-30077
2024-12-04,North,Insurance,283,21773,58676,14302,-51205
2024-08-12,West,Credit Card,211,138578,70063,4333,64182
2024-08-09,North,Mortgage,224,174992,52704,5094,117194
2024-08-01,South,Investment,209,85178,70664,11054,3460
2022-06-04,South,Mortgage,412,100648,41164,8758,50726
2022-03-29,South,Mortgage,425,44503,65009,3295,-23801
2024-07-19,East,Credit Card,234,157178,15345,4627,137206
2022-06-28,South,Mortgage,223,78090,56087,9456,12547
2022-07-31,South,Insurance,287,160838,36575,19248,105015
2023-04-10,East,Insurance,212,122744,16050,15979,90715
2023-09-23,West,Credit Card,455,72753,50956,16804,4993
2024-04-04,West,Insurance,449,177747,76270,3742,97735
2023-08-30,North,Investment,287,56284,48236,7657,391
2024-06-03,West,Credit Card,155,163069,56892,6621,99556
2023-01-01,North,Mortgage,167,72004,51507,4063,16434
2022-10-03,North,Investment,281,102511,58827,4340,39344
2023-01-15,West,Credit Card,125,163056,43079,6256,113721
2024-08-02,West,Mortgage,54,44984,51928,5329,-12273
2024-12-23,East,Mortgage,267,107320,65103,13326,28891
2024-03-20,North,Mortgage,331,94132,60234,18153,15745
2024-07-13,West,Mortgage,382,149145,53776,19185,76184
2023-05-09,West,Mortgage,457,107895,10720,9603,87572
2024-12-30,East,Credit Card,285,136171,63496,15148,57527
2022-12-30,West,Insurance,372,84176,69353,19345,-4522
2023-07-24,South,Mortgage,81,161386,18012,10433,132941
2024-02-02,South,Investment,456,110976,63305,3479,44192
2022-10-03,North,Credit Card,226,87120,54088,17562,15470
2022-02-19,East,Loan,168,92949,87481,10797,-5329
2023-12-29,West,Insurance,239,37126,59224,16822,-38920
2024-06-24,North,Investment,151,163102,58517,7296,97289
2024-07-16,West,Mortgage,414,147631,57956,3940,85735
2023-07-18,South,Credit Card,128,160127,63232,5270,91625
2024-02-22,West,Credit Card,371,40366,65829,13580,-39043
2023-04-30,West,Mortgage,188,105966,71492,9536,24938
2023-08-07,West,Investment,385,50214,53576,14018,-17380
2022-08-24,South,Credit Card,451,56452,39565,6663,10224
2022-02-25,South,Insurance,275,65351,79734,17799,-32182
2022-12-26,East,Investment,315,150885,27202,18577,105106
2022-04-20,South,Mortgage,382,115459,60682,3505,51272
2022-07-11,North,Investment,273,128646,66504,17332,44810
2024-06-22,West,Investment,109,88373,27433,12945,47995
2024-05-11,South,Loan,313,154500,67368,13598,73534
2023-07-22,North,Mortgage,97,108964,43695,8962,56307
2024-12-19,South,Insurance,130,153265,42007,19135,92123
2023-10-12,West,Mortgage,346,39722,87320,14557,-62155
2022-02-08,North,Loan,428,153238,77381,17670,58187
2024-12-08,South,Mortgage,57,70678,37075,14144,19459
2023-09-29,South,Mortgage,398,193331,88530,19204,85597
2024-11-02,North,Insurance,298,170874,72635,11205,87034
2022-02-05,East,Loan,293,80380,89017,12686,-21323
2022-04-11,North,Mortgage,214,39096,41855,7274,-10033
2022-06-15,North,Mortgage,396,84626,50924,16804,16898
2023-01-18,North,Credit Card,470,123292,65585,16195,41512
2024-02-29,North,Mortgage,369,194441,82259,15389,96793
2022-01-31,South,Insurance,236,64006,75674,9636,-21304
2022-01-11,North,Credit Card,298,69387,48106,10509,10772
2022-04-06,North,Loan,176,164961,51457,6423,107081
2023-03-29,West,Investment,137,138022,15371,4106,118545
2022-07-11,South,Insurance,94,168530,28134,12187,128209
2023-05-01,West,Loan,449,130942,70068,9871,51003
2022-08-26,South,Credit Card,331,98240,82585,2936,12719
2024-12-24,East,Investment,295,184583,60768,14512,109303
2024-01-05,East,Loan,464,102925,37443,18008,47474
2024-09-17,South,Insurance,460,28204,70739,6477,-49012
2024-04-04,East,Credit Card,267,106821,66477,4382,35962
2022-04-16,East,Insurance,476,187443,77245,5913,104285
2022-06-30,South,Insurance,64,55028,15262,11520,28246
2022-07-03,North,Credit Card,305,147245,48224,15057,83964
2022-08-14,West,Mortgage,363,78327,38768,14418,25141
2024-02-16,South,Insurance,226,27814,59604,16537,-48327
2024-02-29,South,Credit Card,384,49445,25623,2786,21036
2023-11-19,South,Insurance,264,79303,76905,6840,-4442
2023-06-14,West,Mortgage,74,95956,74995,10866,10095
2024-08-29,South,Credit Card,373,95490,83099,11448,943
2024-07-24,West,Loan,341,94744,69287,14213,11244
2022-04-16,West,Loan,166,104073,77087,3018,23968
2024-04-10,East,Loan,129,35168,59556,14936,-39324
2023-11-10,North,Investment,224,122886,67865,19630,35391
2024-04-28,East,Insurance,281,122789,72393,15661,34735
2024-11-21,South,Insurance,364,53375,43385,5300,4690
2023-01-28,South,Credit Card,485,118086,28448,11137,78501
2022-02-09,West,Investment,89,48794,22491,10410,15893
2023-10-22,East,Insurance,220,22836,25366,2852,-5382
2024-09-07,West,Credit Card,166,165163,85464,5829,73870
2024-04-24,East,Mortgage,233,184606,40253,5981,138372
2022-07-20,East,Insurance,130,32790,62913,18566,-48689
2023-03-23,East,Insurance,436,67700,68878,14802,-15980
2024-11-27,East,Mortgage,120,191462,51993,3247,136222
2023-03-20,East,Mortgage,189,81292,64031,19271,-2010
2024-01-31,North,Insurance,242,171125,44560,3607,122958
2022-08-15,South,Mortgage,220,53161,38296,16690,-1825
2022-02-17,East,Credit Card,150,45169,77772,10854,-43457
2024-11-07,East,Insurance,119,112993,17599,10035,85359
2024-06-30,West,Insurance,223,94613,65439,3736,25438
2022-07-06,South,Loan,493,23052,75249,18166,-70363
2022-12-11,South,Insurance,238,192536,20525,14817,157194
2022-08-12,South,Loan,482,21777,34903,2624,-15750
2024-04-09,East,Mortgage,264,108853,45696,8325,54832
2023-05-03,West,Mortgage,74,163701,86211,8942,68548
2024-05-26,South,Credit Card,138,157892,23802,12559,121531
2024-04-28,West,Loan,180,32499,72511,7156,-47168
2024-09-05,North,Insurance,245,85029,35350,16305,33374
2024-10-13,North,Loan,368,94084,33477,7957,52650
2022-07-07,West,Mortgage,335,125906,68624,4915,52367
2022-09-27,East,Mortgage,274,189036,76591,18589,93856
2022-11-06,South,Credit Card,398,161014,37790,7480,115744
2024-12-31,North,Mortgage,437,95437,29409,19751,46277
2024-04-24,North,Loan,383,23681,84843,18736,-79898
2023-05-01,West,Insurance,390,159800,14284,4930,140586
2022-04-30,East,Insurance,376,126646,35420,11073,80153
2022-08-08,West,Loan,198,29947,49351,10146,-29550
2022-02-22,West,Credit Card,120,134251,69425,11756,53070
2024-01-28,West,Insurance,178,63955,75171,2372,-13588
2024-01-08,West,Loan,493,123142,42885,17813,62444
2023-12-21,West,Loan,339,104482,24359,12385,67738
2023-02-10,East,Mortgage,136,67438,83243,8044,-23849
2023-08-31,West,Mortgage,436,190567,88602,12803,89162
2024-10-17,East,Credit Card,67,189371,56834,17732,114805
2023-02-26,South,Credit Card,92,68382,21227,9475,37680
2023-12-13,South,Credit Card,125,29433,69391,5491,-45449
2022-09-04,South,Loan,383,72984,89568,13390,-29974
2022-03-13,South,Loan,90,22899,69520,2562,-49183
2022-07-04,North,Mortgage,411,175607,50568,19294,105745
2022-01-06,East,Insurance,414,80099,73940,11868,-5709
2024-06-24,South,Credit Card,329,74902,70524,4229,149
2023-01-22,North,Investment,329,136967,77136,10575,49256
2023-11-30,East,Credit Card,308,189601,37711,9394,142496
2024-04-06,North,Mortgage,492,193020,39704,17000,136316
2022-12-15,North,Loan,491,92283,83759,13977,-5453
2022-11-04,West,Mortgage,378,158876,15949,14874,128053
2022-10-14,North,Mortgage,73,147182,37817,12144,97221
2024-02-05,North,Mortgage,499,87185,58303,10781,18101
2023-12-26,East,Investment,424,186248,54829,3633,127786
2024-02-01,North,Investment,345,148350,50086,9317,88947
2023-01-18,West,Credit Card,376,63380,36726,2643,24011
2023-01-23,South,Loan,442,182335,21224,14651,146460
2023-06-09,South,Mortgage,158,115701,71976,9177,34548
2023-10-01,East,Insurance,408,100002,26024,16947,57031
2024-07-26,East,Credit Card,493,77872,53627,3564,20681
2022-10-03,North,Credit Card,472,107516,67994,13160,26362
2023-05-15,East,Mortgage,338,27542,87957,13734,-74149
2023-12-18,North,Credit Card,467,185259,85342,14668,85249
2022-12-03,East,Mortgage,367,175582,64495,19373,91714
2024-07-20,South,Credit Card,390,56941,58495,9256,-10810
2023-04-26,South,Loan,366,87271,39399,6605,41267
2024-06-29,South,Credit Card,398,130632,80346,4598,45688
2024-12-17,South,Credit Card,76,197332,61305,5306,130721
2022-04-19,North,Insurance,175,21148,84204,14278,-77334
2022-11-24,North,Loan,450,191863,45783,15965,130115
2022-11-11,North,Loan,365,51343,37511,9506,4326
2023-11-30,South,Loan,219,99082,66996,18892,13194
2024-02-20,West,Credit Card,96,62483,87114,10614,-35245
2022-06-05,South,Investment,417,194793,13081,3757,177955
2024-06-05,South,Credit Card,392,108615,50192,18838,39585
2024-10-22,West,Mortgage,230,111072,24060,7565,79447
2024-01-28,West,Insurance,414,97437,20966,4300,72171
2023-12-23,East,Loan,454,149097,58982,2158,87957
2024-07-01,South,Mortgage,441,85540,26132,19141,40267
2024-05-20,West,Mortgage,122,90455,25221,2284,62950
2022-01-13,East,Investment,171,104711,25732,16296,62683
2023-08-31,West,Loan,402,180404,71929,10908,97567
2023-05-13,West,Credit Card,235,181081,33654,17538,129889
2022-08-26,East,Loan,373,164584,31203,18477,114904
2024-02-20,South,Insurance,368,92109,26220,9722,56167
2023-08-29,East,Loan,492,67262,65072,8711,-6521
2023-10-23,South,Mortgage,131,172995,60360,13370,99265
2024-04-28,West,Mortgage,79,113441,71018,15213,27210
2024-07-24,East,Credit Card,330,147991,60552,16795,70644
2023-09-20,North,Credit Card,170,112820,14206,12996,85618
2022-05-23,West,Credit Card,402,191093,51281,14652,125160
2023-12-15,East,Insurance,404,74284,54671,2093,17520
2023-04-24,West,Loan,155,178994,14858,6481,157655
2023-07-19,East,Investment,361,180613,82689,2918,95006
2023-04-16,South,Loan,467,154138,67027,13478,73633
2023-01-19,North,Credit Card,483,102946,20006,4517,78423
2024-07-14,West,Insurance,179,49605,82616,14442,-47453
2023-02-21,North,Loan,254,154142,35312,8113,110717
2022-11-04,South,Mortgage,102,74994,11180,6828,56986
2023-10-11,East,Loan,431,178278,49607,10228,118443
2024-10-21,North,Mortgage,346,65326,60574,12565,-7813
2024-12-03,East,Loan,328,189509,72990,4575,111944
2024-01-09,South,Loan,238,110545,22279,4889,83377
2022-05-20,West,Loan,264,81961,66682,11133,4146
2024-08-31,South,Credit Card,80,96644,67786,7449,21409
2024-10-13,North,Mortgage,499,163226,79042,12633,71551
2024-08-10,North,Insurance,307,145417,66951,7264,71202
2024-06-22,North,Investment,109,180553,33892,16913,129748
2022-03-13,East,Mortgage,127,117001,18439,5100,93462
2022-04-17,West,Credit Card,72,135910,29362,12477,94071
2024-12-01,North,Mortgage,234,49107,36741,3914,8452
2024-06-01,North,Insurance,84,63224,30571,11404,21249
2022-05-19,North,Mortgage,50,29725,87781,18545,-76601
2023-09-07,South,Credit Card,154,108103,72900,19741,15462
2024-05-12,North,Credit Card,225,73945,31327,3175,39443
2022-09-30,South,Investment,98,61751,27931,9418,24402
2023-02-20,North,Insurance,217,100551,40235,6440,53876
2023-05-21,South,Investment,367,111164,28374,10296,72494
2024-01-03,East,Loan,320,153156,69168,8424,75564
2023-02-28,East,Credit Card,207,71706,41703,13995,16008
2023-01-25,South,Investment,70,162867,78682,14445,69740
2022-12-08,West,Credit Card,441,112419,89950,2950,19519
2024-08-03,West,Credit Card,440,23722,11746,14888,-2912
2023-09-06,South,Loan,154,47902,29144,19303,-545
2023-05-08,East,Credit Card,339,153108,38876,2422,111810
2022-07-11,South,Investment,170,23157,16961,12767,-6571
2023-05-14,West,Insurance,241,183379,35401,9343,138635
2024-04-01,South,Mortgage,475,85322,39977,12391,32954
2022-08-15,East,Investment,278,31917,59174,10113,-37370
2022-05-19,West,Loan,230,63419,38804,6572,18043
2024-05-05,West,Mortgage,401,27555,50550,3232,-26227
2024-03-27,North,Credit Card,274,175023,44397,17802,112824
2024-12-22,North,Investment,283,51382,60677,13340,-22635
2022-04-14,West,Mortgage,315,123756,49353,11716,62687
2024-05-20,West,Investment,395,35350,70586,10251,-45487
2023-10-30,South,Credit Card,363,148452,24191,8463,115798
2022-09-30,East,Investment,414,143474,55021,15253,73200
2024-10-26,West,Loan,267,71369,25290,8307,37772
2022-07-03,East,Mortgage,260,85763,81353,15526,-11116
2024-11-17,West,Mortgage,148,76645,27004,15350,34291
2022-10-20,East,Mortgage,158,167460,14651,10866,141943
2022-06-26,North,Investment,437,69303,76251,3976,-10924
2022-02-27,West,Credit Card,394,162593,18297,10353,133943
2022-11-04,South,Investment,302,121381,70313,7849,43219
2024-09-03,East,Investment,441,51947,34172,12090,5685
2023-12-01,West,Mortgage,61,112437,49467,12256,50714
2022-03-24,North,Credit Card,167,89507,88128,4082,-2703
2022-09-09,North,Insurance,137,152076,53098,7282,91696
2024-03-06,North,Credit Card,393,82320,78079,6452,-2211
2024-06-15,North,Investment,258,28002,13152,11651,3199
2022-07-29,West,Loan,458,121964,59848,4121,57995
2024-03-26,South,Credit Card,460,124793,18598,19578,86617
2023-09-01,East,Mortgage,179,166547,54528,7556,104463
2023-03-23,South,Loan,378,79080,47953,19992,11135
2023-04-05,East,Insurance,232,71779,54279,11409,6091
2024-08-25,South,Insurance,491,24708,43283,14705,-33280
2023-04-17,West,Loan,466,91623,33647,3489,54487
2023-01-05,West,Insurance,132,108737,77281,3690,27766
2024-06-18,East,Loan,303,173912,71675,13760,88477
2024-07-11,West,Investment,482,64452,44952,6843,12657
2022-05-17,East,Loan,54,38309,46196,5738,-13625
2023-01-02,South,Investment,352,156774,76607,14261,65906
2024-06-30,West,Mortgage,73,144072,11187,10639,122246
2022-07-03,West,Mortgage,170,160390,22561,8950,128879
2023-04-17,East,Insurance,144,85763,12549,11403,61811
2023-10-16,East,Loan,477,109220,68840,11288,29092
2024-01-19,East,Investment,273,187483,16081,2095,169307
2023-06-21,East,Mortgage,288,112098,17147,18278,76673
2024-03-12,North,Mortgage,276,154800,39591,13085,102124
2024-07-08,East,Mortgage,191,123532,81281,15834,26417
2023-05-25,North,Insurance,469,199556,27204,17363,154989
2023-09-22,South,Mortgage,100,163030,19191,6658,137181
2024-09-28,East,Credit Card,439,40099,18765,19967,1367
2024-07-04,North,Insurance,194,90057,71373,14420,4264
2024-10-30,North,Loan,387,182733,77234,19225,86274
2022-06-01,North,Credit Card,377,104041,29426,6581,68034
2024-10-25,West,Insurance,356,174719,13256,5763,155700
2023-04-09,North,Insurance,101,69494,67148,11263,-8917
2022-09-28,East,Investment,61,42928,77723,5877,-40672
2023-04-05,East,Credit Card,386,63891,77314,4496,-17919
2022-04-15,East,Credit Card,144,73469,44262,5098,24109
2022-06-11,North,Credit Card,420,98463,57600,15636,25227
2022-12-17,North,Mortgage,178,50207,23913,14762,11532
2023-03-10,West,Mortgage,60,199034,49235,14779,135020
2024-05-01,South,Loan,321,194453,35926,19029,139498
2022-05-20,West,Loan,406,123136,75886,10999,36251
2022-03-28,East,Loan,418,82852,44694,6248,31910
2022-07-02,East,Mortgage,141,116691,75382,4546,36763
2023-01-03,East,Investment,58,98963,75319,14989,8655
2022-05-09,West,Loan,424,88710,64418,2078,22214
2023-11-01,East,Insurance,172,45313,68653,13309,-36649
2022-05-29,East,Mortgage,313,163924,22441,19839,121644
2024-09-11,East,Investment,330,126358,48778,17932,59648
2024-05-01,North,Insurance,473,37410,22712,5664,9034
2023-09-20,South,Insurance,168,75101,15269,9440,50392
2023-03-22,North,Mortgage,456,41023,64844,16895,-40716
2024-06-02,North,Credit Card,239,134433,33624,6625,94184
2022-10-21,South,Investment,328,119407,86077,9203,24127
2022-09-07,South,Mortgage,349,156016,41260,9989,104767
2024-05-27,West,Credit Card,105,158036,86689,3922,67425
2024-08-05,South,Mortgage,245,28587,63918,7208,-42539
2024-09-01,West,Mortgage,428,196516,79640,6972,109904
2024-11-14,West,Insurance,72,181079,41199,9827,130053
2024-02-28,North,Mortgage,314,76655,78359,16366,-18070
2024-09-10,East,Credit Card,294,193566,56487,17380,119699
2024-06-07,North,Insurance,309,192076,10067,4789,177220
2024-06-08,North,Credit Card,467,71131,35907,19592,15632
2022-03-11,South,Credit Card,280,133043,22589,13008,97446
2023-09-17,South,Insurance,259,51028,53280,10502,-12754
2024-05-24,West,Credit Card,211,120168,69951,9838,40379
2023-04-16,West,Loan,426,144687,34328,8678,101681
2022-04-01,West,Mortgage,403,161538,81108,12608,67822
2023-06-14,South,Insurance,219,171900,51437,14618,105845
2023-10-23,West,Insurance,436,180469,63765,5974,110730
2024-01-09,West,Loan,388,146387,37365,18096,90926
2023-12-27,South,Loan,339,163744,23255,18679,121810
2024-05-21,East,Loan,276,90676,22333,16743,51600
2022-07-11,North,Loan,410,33999,27407,8502,-1910
2022-05-18,South,Investment,412,143370,24959,18329,100082
2022-12-11,West,Insurance,92,99314,85620,14921,-1227
2024-10-05,North,Credit Card,244,168935,16814,3888,148233
2023-05-18,South,Insurance,470,35108,49526,15012,-29430
2022-07-22,North,Insurance,61,166422,60553,6657,99212
2023-07-27,North,Insurance,321,178583,15858,15654,147071
2022-07-11,East,Loan,111,62972,51734,17563,-6325
2022-01-05,West,Loan,66,57454,16622,15461,25371
2022-11-07,South,Investment,320,88766,48821,8103,31842
2023-07-03,West,Insurance,75,175790,81047,13651,81092
2022-02-25,East,Mortgage,94,185689,62975,15341,107373
2023-03-19,East,Investment,435,155092,21447,15000,118645
2024-05-19,South,Loan,194,61004,50399,3512,7093
2023-08-08,South,Insurance,114,36834,18801,17287,746
2024-01-22,East,Loan,399,152331,57634,8628,86069
2022-12-26,South,Credit Card,335,155849,62310,3037,90502
2024-03-29,North,Loan,117,142080,24083,13023,104974
2022-01-30,North,Loan,411,60343,75727,16890,-32274
2022-04-18,East,Investment,349,115525,82321,3603,29601
2024-04-23,West,Credit Card,145,47927,54235,7028,-13336
2023-12-18,South,Mortgage,109,169452,69414,15352,84686
2024-06-09,South,Mortgage,306,48250,54532,10278,-16560
2024-08-17,North,Mortgage,68,64448,73057,11032,-19641
2024-06-11,South,Insurance,82,132786,22210,10155,100421
2024-01-02,West,Mortgage,469,31224,24243,7934,-953
2023-08-29,South,Insurance,140,103414,49926,13873,39615
2023-04-02,South,Loan,287,111184,28393,7021,75770
2023-09-07,North,Mortgage,73,32304,40987,9353,-18036
2023-11-29,South,Investment,276,21578,66549,11582,-56553
2023-11-05,East,Credit Card,388,46315,71216,16514,-41415
2023-06-27,East,Credit Card,430,127511,40180,13790,73541
2024-05-06,West,Loan,458,43377,23641,11002,8734
2024-06-15,West,Credit Card,444,47541,63150,8549,-24158
2022-10-05,West,Credit Card,314,117342,19421,13100,84821
2023-07-06,West,Loan,55,37943,46617,13302,-21976
2022-04-21,North,Loan,107,194018,21416,2230,170372
2023-01-20,South,Loan,149,158960,44216,7443,107301
2024-01-31,North,Investment,171,154928,43772,4101,107055
2023-11-25,West,Loan,406,109752,66336,12660,30756
2023-02-09,South,Loan,206,187367,85506,6041,95820
2022-01-22,East,Loan,250,68638,18369,13675,36594
2023-11-09,North,Mortgage,274,25819,51582,12669,-38432
2023-09-03,South,Mortgage,316,122172,75566,12686,33920
2022-01-08,East,Investment,200,60072,83731,11634,-35293
2023-12-03,East,Investment,459,131065,23178,12098,95789
2023-06-13,West,Credit Card,306,149076,10017,5284,133775
2023-08-25,East,Mortgage,130,179292,66314,5641,107337
2023-10-19,East,Investment,480,112272,47095,9896,55281
2022-06-15,West,Investment,415,197967,77361,14165,106441
2024-04-28,South,Credit Card,474,107659,34623,16547,56489
2023-05-11,South,Loan,456,160765,16206,4860,139699
2023-08-13,West,Insurance,149,150382,29545,9333,111504
2023-03-05,North,Credit Card,154,119118,44815,15543,58760
2024-02-13,West,Insurance,301,164450,17766,9566,137118
2022-06-12,South,Credit Card,182,165727,34864,14999,115864
2023-01-01,North,Credit Card,148,84121,17248,5916,60957
2022-03-13,West,Loan,227,97053,34745,2047,60261
2023-10-17,South,Investment,314,147376,62095,4107,81174
2022-09-26,South,Mortgage,181,152395,26031,8616,117748
2023-02-19,South,Credit Card,248,110116,74111,10982,25023
2024-10-12,East,Loan,242,68989,63930,17155,-12096
2023-11-06,East,Insurance,257,94986,72136,3877,18973
2024-12-19,North,Investment,106,42974,67649,17086,-41761
2022-01-06,North,Credit Card,429,50717,49283,5861,-4427
2024-09-08,North,Insurance,458,149062,23894,17896,107272
2023-07-24,East,Credit Card,491,87241,67918,12303,7020
2023-02-11,North,Mortgage,311,48517,42396,16656,-10535
2022-01-26,South,Mortgage,279,146025,31607,6707,107711
2024-10-25,South,Investment,191,104763,52129,11934,40700
2024-09-12,North,Insurance,112,186036,87474,17266,81296
2023-01-25,North,Mortgage,167,183099,49639,6069,127391
2023-12-11,East,Loan,370,87669,80780,15837,-8948
2023-07-25,South,Investment,357,22578,17203,5489,-114
2024-01-24,West,Credit Card,370,197779,59393,6667,131719
2022-05-26,West,Insurance,294,184653,21202,4613,158838
2024-02-24,East,Insurance,430,26551,61689,8910,-44048
2023-06-10,East,Loan,405,185467,31668,14741,139058
2022-01-13,East,Mortgage,185,150764,69513,11369,69882
2024-06-21,South,Insurance,145,73768,61793,15302,-3327
2023-01-19,North,Loan,274,88116,22285,4720,61111
2023-07-10,North,Loan,57,75390,75436,8776,-8822
2024-06-05,East,Credit Card,63,150751,37620,13984,99147
2022-01-19,South,Loan,73,155004,28219,15033,111752
2023-07-29,West,Investment,241,27113,26195,10711,-9793
2024-01-21,East,Insurance,290,187091,15195,8994,162902
2024-09-30,South,Investment,398,103074,72349,11884,18841
2023-02-23,East,Loan,74,114092,30301,13695,70096
2023-02-23,South,Loan,439,69684,79298,4631,-14245
2022-05-02,South,Investment,178,20887,36071,15635,-30819
2023-03-08,East,Credit Card,136,137613,59521,3342,74750
2022-02-13,North,Loan,282,169888,32864,13173,123851
2023-01-16,East,Investment,338,121901,67175,13532,41194
2022-05-25,North,Investment,447,175467,59732,3503,112232
2022-12-29,North,Insurance,496,198723,68985,5170,124568
2024-12-09,West,Credit Card,105,156597,23376,12227,120994
2024-12-24,South,Mortgage,239,84143,44330,7487,32326
2022-12-21,East,Investment,77,116254,23223,11517,81514
2024-03-10,South,Insurance,78,144257,84165,8153,51939
2024-04-05,West,Mortgage,328,40990,44758,7558,-11326
2023-02-02,North,Insurance,221,117113,72560,13798,30755
2024-05-29,East,Insurance,87,199138,49073,8422,141643
2023-04-08,South,Credit Card,482,192243,82991,6011,103241
2024-03-18,West,Loan,348,78270,63810,2515,11945
2022-07-06,North,Credit Card,315,39056,60818,10605,-32367
2024-01-02,North,Mortgage,76,89568,32269,18307,38992
2023-03-05,South,Credit Card,185,85369,33892,14512,36965
2024-05-07,North,Loan,285,129578,89372,7004,33202
2022-08-25,West,Credit Card,294,130927,55575,7237,68115
2024-02-10,North,Credit Card,134,177349,37037,6511,133801
2024-01-28,East,Credit Card,463,158497,15383,8969,134145
2022-05-16,East,Investment,62,181845,46186,18189,117470
2024-03-02,South,Investment,107,40230,42598,7830,-10198
2022-06-20,West,Credit Card,308,36679,23447,15325,-2093
2022-06-08,North,Loan,149,60492,69127,14041,-22676
2022-07-20,North,Loan,153,101845,24798,12170,64877
2024-08-19,North,Loan,310,142072,65220,13763,63089
2023-08-06,East,Loan,327,80092,63446,9853,6793
2024-05-25,West,Insurance,491,155555,27483,16225,111847
2023-01-06,North,Credit Card,115,182922,63105,10594,109223
2022-04-13,South,Credit Card,138,129575,28851,4023,96701
2024-09-28,West,Insurance,345,42417,73305,12217,-43105
2024-09-02,West,Loan,137,117447,21709,9972,85766
2024-03-08,North,Mortgage,427,41834,61602,17598,-37366
2023-10-20,East,Mortgage,54,153047,52667,19410,80970
2024-05-31,West,Insurance,193,155204,86144,17286,51774
2024-01-03,South,Mortgage,166,92934,45475,19030,28429
2023-02-27,West,Investment,320,24278,75565,18710,-69997
2023-07-26,East,Credit Card,254,67395,75970,12996,-21571
2022-06-20,South,Mortgage,124,93461,54281,13827,25353
2022-06-22,East,Investment,129,164905,23802,6533,134570
2023-10-25,North,Credit Card,67,155237,67642,6670,80925
2023-03-29,West,Investment,266,77580,29925,8133,39522
2022-12-16,South,Credit Card,480,102383,36025,14282,52076
2023-05-09,East,Credit Card,151,139925,74786,15687,49452
2023-09-12,North,Mortgage,181,65246,89363,13977,-38094
2024-10-24,South,Insurance,358,184769,13554,2639,168576
2024-07-07,West,Mortgage,107,191513,64949,17481,109083
2022-01-06,West,Loan,161,60439,86488,16507,-42556
2022-10-15,East,Investment,134,93454,20695,19827,52932
2023-08-31,South,Loan,380,89447,79793,19316,-9662
2023-04-02,North,Credit Card,363,66970,29762,13510,23698
2024-10-26,North,Mortgage,165,24412,37374,15504,-28466
2023-09-16,North,Loan,364,53485,36014,2431,15040
2023-01-11,East,Loan,211,37041,43106,10020,-16085
2023-03-23,North,Loan,335,21212,48970,17610,-45368
2024-04-14,South,Credit Card,487,91971,86651,8192,-2872
2024-03-21,East,Credit Card,373,145150,80875,5382,58893
2024-08-16,West,Credit Card,255,190742,77944,7158,105640
2024-04-28,East,Loan,380,25536,21025,7569,-3058
2024-03-19,East,Investment,117,138166,16168,14033,107965
2024-09-05,East,Mortgage,459,165343,28313,17344,119686
2023-02-20,South,Mortgage,436,91108,28884,2273,59951
2023-12-27,West,Credit Card,297,111342,33758,4728,72856
2023-03-30,West,Loan,106,113085,19299,19249,74537
2022-05-30,East,Investment,214,74631,28679,15027,30925
2024-01-29,East,Insurance,215,112124,82951,12742,16431
2024-02-18,East,Credit Card,346,64635,82754,11382,-29501
2024-08-30,South,Insurance,53,156197,82628,11674,61895
2024-02-02,South,Mortgage,459,68260,52505,19922,-4167
2024-09-28,North,Mortgage,344,57861,28608,6784,22469
2022-03-17,West,Investment,414,107512,16268,14259,76985
2023-08-22,North,Investment,155,50299,34741,14770,788
2022-08-13,North,Insurance,157,165920,87147,16357,62416
2022-04-23,East,Mortgage,219,117037,67469,18716,30852
2022-09-08,South,Investment,316,151154,46208,7628,97318
2024-04-20,North,Investment,316,40146,81469,5307,-46630
2023-12-15,North,Mortgage,103,136088,17414,7519,111155
2022-05-05,North,Mortgage,215,116590,14165,18447,83978
2024-12-28,East,Loan,303,168114,81673,5265,81176
2024-12-06,East,Investment,325,33599,41826,3193,-11420
2024-06-02,South,Insurance,203,70489,52383,7506,10600
2022-01-30,North,Credit Card,177,109060,89846,16612,2602
2022-10-08,North,Credit Card,125,67257,78665,13973,-25381
2024-07-12,South,Mortgage,424,100431,62697,10388,27346
2023-01-03,South,Insurance,270,50586,29365,18407,2814
2023-05-10,South,Loan,319,31416,32712,18960,-20256
2024-11-14,West,Investment,483,94421,23388,6886,64147
2023-12-19,South,Loan,172,155399,43862,10783,100754
2024-10-13,East,Insurance,74,144024,27523,15962,100539
2023-08-29,West,Loan,488,39640,37832,14268,-12460
2023-01-10,South,Mortgage,484,111964,82002,5143,24819
2023-10-01,East,Credit Card,155,49059,18206,14350,16503
2024-11-14,South,Mortgage,155,132542,25187,5348,102007
2022-04-26,South,Investment,152,161943,49353,19970,92620
2022-02-17,West,Mortgage,315,151935,44306,7009,100620
2022-04-09,East,Insurance,63,135937,47945,16737,71255
2023-02-09,North,Insurance,182,197775,82078,10057,105640
2023-11-16,South,Investment,490,62178,17579,10857,33742
2024-06-21,West,Investment,71,83427,36286,15790,31351
2023-05-18,East,Credit Card,124,158433,53584,12703,92146
2024-06-12,South,Loan,334,199218,80547,12668,106003
2022-09-15,North,Credit Card,440,180280,88858,9415,82007
2024-04-23,East,Mortgage,293,90342,44584,4026,41732
2022-05-01,East,Loan,305,66594,81171,18123,-32700
